customer_id,signup_date,loyalty_tier,customer_segment,age_band,preferred_channel,home_suburb,prior_12m_orders,lifetime_value_before_period,marketing_consent,home_postcode,home_state,home_country,preferred_language,acquisition_source,account_status,preferred_device,email_domain,household_size_band,contact_frequency_preference
CUS00015,2017-02-18,Bronze,Small Business,35-44,Store,Hawthorn,4,4327.11,True,3122,VIC,Australia,es,Store,Active,Desktop,inbox.example,3-4,Weekly
CUS00016,2014-12-11,Silver,Small Business,18-24,Web,Docklands,4,1925.23,True,3008,VIC,Australia,de,Organic,Dormant,Mobile,mail.test,2,Weekly
CUS00017,2017-10-18,Silver,Value,25-34,Mobile,Hawthorn,21,6789.65,True,3122,VIC,Australia,zh,Organic,Active,Mobile,example.net,5+,Quarterly
CUS00018,2013-06-02,Gold,Mainstream,35-44,Mobile,Docklands,20,18827.78,True,3008,VIC,Australia,it,Store,Active,Desktop,inbox.example,5+,Monthly
CUS00019,2017-05-22,Bronze,Mainstream,18-24,Mobile,Docklands,17,14861.15,False,3008,VIC,Australia,fr,Store,Active,Desktop,inbox.example,5+,Quarterly
CUS00020,2014-11-18,Silver,Small Business,18-24,Store,Carlton,18,7748.67,False,3053,VIC,Australia,nl,Paid Search,Active,Mobile,mail.test,5+,Weekly
CUS00021,2015-03-03,Silver,Small Business,55+,Web,Richmond,16,7245.75,False,3121,VIC,Australia,pl,Referral,Active,Mobile,mail.test,3-4,Weekly
CUS00022,2016-12-10,Gold,Premium,45-54,Web,Brunswick,0,560.84,True,3056,VIC,Australia,hi,Paid Search,Active,Mobile,inbox.example,3-4,Quarterly
CUS00023,2017-09-03,Gold,Value,18-24,Store,Melbourne,13,7960.23,True,3000,VIC,Australia,en,Social,Active,Desktop,inbox.example,1,Quarterly
CUS00024,2017-03-12,Bronze,Value,25-34,Store,Docklands,6,4328.93,False,3008,VIC,Australia,ru,Organic,Dormant,Mobile,mail.test,5+,Weekly
CUS00025,2015-02-16,Bronze,Small Business,35-44,Mobile,Brunswick,5,3897.97,True,3056,VIC,Australia,it,Store,Active,Desktop,example.net,2,Quarterly
CUS00026,2017-10-15,Gold,Small Business,35-44,Mobile,Brunswick,2,1401.56,True,3056,VIC,Australia,zh,Social,Active,Tablet,mail.test,1,Quarterly
CUS00027,2015-05-05,Bronze,Premium,35-44,Store,Melbourne,6,5546.95,True,3000,VIC,Australia,es,Social,Active,Desktop,mail.test,3-4,Monthly
CUS00028,2017-12-13,Platinum,Small Business,25-34,Store,Carlton,17,14419.55,True,3053,VIC,Australia,en,Referral,Active,Desktop,mail.test,3-4,Essential only
CUS00029,2015-09-23,Bronze,Small Business,35-44,Mobile,Docklands,6,4216.06,True,3008,VIC,Australia,it,Referral,Active,Tablet,example.net,3-4,Quarterly
CUS00030,2016-09-15,Silver,Mainstream,35-44,Web,Southbank,9,8565.89,True,3006,VIC,Australia,it,Paid Search,Active,Tablet,mail.test,5+,Monthly
CUS00031,2014-07-25,Silver,Mainstream,18-24,Store,Docklands,10,4749.79,True,3008,VIC,Australia,it,Store,Active,Desktop,mail.test,2,Monthly
CUS00032,2013-08-02,Silver,Small Business,45-54,Store,St Kilda,13,5079.47,True,3182,VIC,Australia,nl,Store,Active,Mobile,mail.test,3-4,Quarterly
CUS00033,2014-01-07,Bronze,Mainstream,35-44,Web,Docklands,2,1927.76,True,3008,VIC,Australia,pl,Social,Active,Mobile,mail.test,3-4,Monthly
CUS00034,2014-08-27,Bronze,Premium,55+,Web,Carlton,12,3519.18,True,3053,VIC,Australia,en,Store,Active,Mobile,inbox.example,3-4,Monthly
CUS00035,2015-12-05,Silver,Mainstream,25-34,Mobile,Southbank,2,1972.62,True,3006,VIC,Australia,pt,Organic,Dormant,Desktop,example.net,2,Quarterly
CUS00036,2014-10-05,Silver,Value,55+,Store,St Kilda,9,3872.83,False,3182,VIC,Australia,es,Paid Search,Active,Desktop,example.net,5+,Essential only
CUS00037,2014-11-15,Bronze,Premium,55+,Mobile,Southbank,9,7737.82,True,3006,VIC,Australia,pl,Organic,Active,Tablet,example.net,2,Weekly
CUS00038,2015-02-18,Bronze,Value,25-34,Store,St Kilda,8,5848.21,True,3182,VIC,Australia,zh,Paid Search,Active,Mobile,inbox.example,3-4,Weekly
CUS00039,2017-04-06,Silver,Premium,18-24,Mobile,Northcote,15,10759.94,False,3070,VIC,Australia,ar,Social,Active,Desktop,example.net,2,Essential only
CUS00040,2015-08-23,Bronze,Mainstream,25-34,Store,Footscray,19,10377.94,True,3011,VIC,Australia,it,Social,Active,Desktop,inbox.example,1,Weekly
CUS00041,2013-04-22,Gold,Value,35-44,Mobile,Northcote,19,2461.65,False,3070,VIC,Australia,fr,Store,Active,Tablet,example.net,5+,Monthly
CUS00042,2015-04-06,Silver,Small Business,18-24,Store,Brunswick,15,11151.61,False,3056,VIC,Australia,it,Store,Dormant,Mobile,mail.test,3-4,Weekly
CUS00043,2017-10-03,Bronze,Small Business,25-34,Web,Hawthorn,9,7520.25,True,3122,VIC,Australia,en,Referral,Active,Tablet,inbox.example,3-4,Essential only
CUS00044,2015-10-03,Silver,Value,18-24,Mobile,Footscray,19,6617.13,False,3011,VIC,Australia,nl,Organic,Active,Mobile,inbox.example,1,Quarterly
CUS00045,2016-11-17,Platinum,Value,18-24,Store,Hawthorn,7,4962.77,False,3122,VIC,Australia,pt,Store,Active,Desktop,inbox.example,5+,Essential only
CUS00046,2015-12-11,Platinum,Mainstream,25-34,Mobile,Southbank,17,6974.75,True,3006,VIC,Australia,es,Organic,Active,Desktop,mail.test,5+,Quarterly
CUS00047,2014-02-19,Bronze,Mainstream,25-34,Mobile,Carlton,18,9698.0,True,3053,VIC,Australia,en,Store,Active,Mobile,example.net,1,Weekly
CUS00048,2017-08-16,Bronze,Small Business,18-24,Mobile,Footscray,16,13005.55,True,3011,VIC,Australia,en,Organic,Active,Desktop,inbox.example,1,Weekly
CUS00049,2016-08-25,Bronze,Value,35-44,Store,Carlton,14,2110.11,True,3053,VIC,Australia,ja,Paid Search,Active,Mobile,mail.test,1,Monthly
CUS00050,2017-02-06,Silver,Value,35-44,Mobile,St Kilda,2,804.61,True,3182,VIC,Australia,ar,Paid Search,Active,Mobile,example.net,5+,Quarterly
CUS00051,2013-09-09,Bronze,Value,55+,Web,Footscray,21,17099.57,True,3011,VIC,Australia,zh,Referral,Active,Tablet,mail.test,2,Essential only
CUS00052,2014-10-23,Bronze,Value,18-24,Mobile,Carlton,11,3558.89,True,3053,VIC,Australia,ru,Store,Active,Mobile,mail.test,1,Monthly
CUS00053,2015-04-19,Silver,Value,18-24,Mobile,Hawthorn,10,2476.35,True,3122,VIC,Australia,ar,Social,Active,Mobile,inbox.example,2,Weekly
CUS00054,2015-03-08,Silver,Mainstream,45-54,Web,Northcote,3,1020.9,True,3070,VIC,Australia,nl,Paid Search,Active,Tablet,inbox.example,5+,Monthly
CUS00055,2014-08-03,Platinum,Mainstream,55+,Store,Richmond,17,2691.87,False,3121,VIC,Australia,en,Paid Search,Review,Desktop,mail.test,2,Monthly
CUS00056,2016-10-23,Bronze,Value,18-24,Store,St Kilda,2,1399.32,True,3182,VIC,Australia,nl,Social,Active,Desktop,inbox.example,5+,Quarterly
CUS00057,2014-10-21,Bronze,Value,45-54,Mobile,Northcote,1,606.39,True,3070,VIC,Australia,ru,Store,Active,Mobile,example.net,2,Monthly
CUS00058,2017-11-26,Gold,Small Business,25-34,Store,Footscray,15,13818.45,True,3011,VIC,Australia,de,Social,Active,Mobile,example.net,3-4,Essential only
CUS00059,2017-08-11,Bronze,Mainstream,45-54,Web,Southbank,3,2369.67,False,3006,VIC,Australia,en,Organic,Review,Desktop,inbox.example,1,Monthly
CUS00060,2014-10-25,Silver,Small Business,45-54,Store,Docklands,9,6625.16,False,3008,VIC,Australia,en,Paid Search,Active,Tablet,inbox.example,1,Monthly
CUS00061,2013-01-12,Silver,Mainstream,18-24,Store,Hawthorn,17,11354.31,False,3122,VIC,Australia,zh,Referral,Active,Desktop,mail.test,5+,Weekly
CUS00062,2013-02-02,Bronze,Premium,55+,Web,Brunswick,15,2956.96,False,3056,VIC,Australia,en,Store,Dormant,Tablet,inbox.example,1,Quarterly
CUS00063,2014-07-05,Silver,Small Business,18-24,Web,Brunswick,15,7213.02,False,3056,VIC,Australia,ar,Organic,Active,Desktop,example.net,2,Monthly
CUS00064,2017-01-10,Silver,Value,45-54,Web,Docklands,21,12311.05,False,3008,VIC,Australia,fr,Social,Active,Desktop,mail.test,5+,Weekly
CUS00065,2013-09-21,Silver,Mainstream,55+,Store,Carlton,6,5322.95,False,3053,VIC,Australia,ar,Organic,Active,Mobile,example.net,1,Essential only
CUS00066,2013-01-21,Silver,Small Business,18-24,Store,Carlton,5,2623.4,False,3053,VIC,Australia,zh,Store,Active,Desktop,mail.test,1,Monthly
CUS00067,2016-11-24,Bronze,Premium,18-24,Mobile,Footscray,13,1369.2,True,3011,VIC,Australia,pl,Referral,Active,Tablet,example.net,1,Monthly
CUS00068,2015-03-09,Bronze,Premium,45-54,Web,Docklands,16,15288.31,True,3008,VIC,Australia,pl,Store,Active,Desktop,example.net,5+,Quarterly
CUS00069,2014-10-03,Gold,Premium,18-24,Web,Melbourne,8,4019.92,True,3000,VIC,Australia,pt,Social,Dormant,Desktop,mail.test,2,Quarterly
CUS00070,2015-01-24,Bronze,Mainstream,45-54,Store,Melbourne,8,5166.39,True,3000,VIC,Australia,de,Social,Active,Desktop,example.net,1,Weekly
CUS00071,2017-09-17,Silver,Value,18-24,Store,Southbank,8,6709.55,False,3006,VIC,Australia,ar,Store,Active,Desktop,mail.test,1,Monthly
CUS00072,2014-08-23,Bronze,Premium,55+,Store,Brunswick,4,3222.93,True,3056,VIC,Australia,fr,Social,Active,Tablet,mail.test,1,Monthly
CUS00073,2015-02-16,Gold,Small Business,25-34,Web,Melbourne,9,4748.96,True,3000,VIC,Australia,nl,Organic,Active,Tablet,inbox.example,5+,Quarterly
CUS00074,2015-06-19,Gold,Value,55+,Mobile,St Kilda,9,5568.86,True,3182,VIC,Australia,fr,Store,Active,Mobile,mail.test,1,Monthly
CUS00075,2017-10-01,Silver,Small Business,18-24,Mobile,Docklands,20,16450.63,True,3008,VIC,Australia,zh,Organic,Active,Mobile,inbox.example,3-4,Monthly
CUS00076,2017-09-25,Silver,Value,45-54,Web,Hawthorn,18,7052.46,True,3122,VIC,Australia,ru,Social,Active,Desktop,mail.test,2,Quarterly
CUS00077,2017-07-21,Platinum,Value,55+,Web,Melbourne,19,10319.89,True,3000,VIC,Australia,zh,Store,Dormant,Mobile,inbox.example,2,Quarterly
CUS00078,2014-08-09,Bronze,Value,55+,Web,Southbank,11,7752.85,True,3006,VIC,Australia,es,Referral,Active,Tablet,inbox.example,1,Weekly
CUS00079,2013-01-05,Bronze,Value,25-34,Mobile,Hawthorn,9,6760.29,False,3122,VIC,Australia,hi,Referral,Active,Mobile,inbox.example,2,Monthly
CUS00080,2016-08-12,Silver,Small Business,55+,Web,Northcote,15,6825.48,True,3070,VIC,Australia,nl,Referral,Active,Tablet,example.net,5+,Essential only
CUS00081,2015-07-19,Silver,Small Business,18-24,Store,Footscray,5,953.33,True,3011,VIC,Australia,zh,Paid Search,Active,Desktop,mail.test,3-4,Weekly
CUS00082,2016-03-03,Silver,Value,55+,Store,Footscray,10,3253.94,True,3011,VIC,Australia,ru,Paid Search,Dormant,Tablet,example.net,2,Essential only
CUS00083,2014-10-12,Bronze,Premium,55+,Mobile,Hawthorn,17,11939.98,True,3122,VIC,Australia,fr,Referral,Active,Mobile,mail.test,2,Essential only
CUS00084,2017-05-08,Silver,Premium,18-24,Mobile,Footscray,16,7568.42,True,3011,VIC,Australia,pl,Organic,Active,Tablet,inbox.example,1,Weekly
CUS00085,2016-06-07,Bronze,Small Business,18-24,Store,Footscray,17,10373.11,True,3011,VIC,Australia,pt,Organic,Active,Mobile,inbox.example,3-4,Weekly
CUS00086,2016-10-21,Silver,Mainstream,55+,Store,Docklands,0,645.53,False,3008,VIC,Australia,ru,Social,Active,Tablet,inbox.example,5+,Weekly
CUS00087,2015-07-03,Platinum,Small Business,18-24,Web,Footscray,0,879.24,False,3011,VIC,Australia,hi,Referral,Active,Mobile,example.net,5+,Monthly
CUS00088,2013-05-11,Silver,Value,35-44,Store,Northcote,10,5407.64,True,3070,VIC,Australia,ja,Paid Search,Active,Mobile,example.net,5+,Essential only
CUS00089,2014-02-24,Bronze,Small Business,45-54,Web,Docklands,5,2808.96,True,3008,VIC,Australia,ja,Organic,Active,Mobile,mail.test,5+,Essential only
CUS00090,2013-10-05,Bronze,Mainstream,18-24,Web,St Kilda,17,1798.98,True,3182,VIC,Australia,pt,Store,Active,Tablet,example.net,1,Monthly
CUS00091,2017-05-19,Bronze,Small Business,18-24,Store,Melbourne,14,12884.48,True,3000,VIC,Australia,fr,Paid Search,Active,Tablet,example.net,3-4,Quarterly
CUS00092,2015-06-21,Gold,Mainstream,35-44,Store,Footscray,6,4265.08,True,3011,VIC,Australia,fr,Store,Active,Tablet,inbox.example,5+,Essential only
CUS00093,2015-06-16,Silver,Small Business,45-54,Store,Melbourne,5,1556.6,True,3000,VIC,Australia,pt,Paid Search,Active,Desktop,mail.test,3-4,Monthly
CUS00094,2015-07-25,Gold,Small Business,18-24,Web,Docklands,18,3874.79,True,3008,VIC,Australia,ja,Organic,Active,Desktop,example.net,1,Quarterly
CUS00095,2015-06-01,Silver,Value,45-54,Web,Docklands,20,11780.9,True,3008,VIC,Australia,zh,Social,Active,Tablet,inbox.example,1,Essential only
CUS00096,2017-07-11,Gold,Small Business,45-54,Mobile,Docklands,8,4476.99,True,3008,VIC,Australia,pl,Organic,Active,Mobile,example.net,1,Weekly
CUS00097,2017-11-15,Bronze,Premium,18-24,Store,Northcote,19,3514.99,True,3070,VIC,Australia,zh,Referral,Active,Desktop,mail.test,2,Weekly
CUS00098,2013-06-04,Bronze,Value,45-54,Mobile,Carlton,15,3928.58,True,3053,VIC,Australia,it,Social,Active,Mobile,example.net,1,Weekly
CUS00099,2014-02-07,Gold,Mainstream,35-44,Mobile,Carlton,16,3396.53,True,3053,VIC,Australia,pl,Store,Active,Tablet,example.net,2,Monthly
CUS00100,2017-05-15,Bronze,Small Business,35-44,Store,Hawthorn,17,2989.43,False,3122,VIC,Australia,es,Organic,Active,Tablet,mail.test,1,Quarterly
CUS00101,2017-05-13,Bronze,Mainstream,25-34,Mobile,St Kilda,8,6000.73,False,3182,VIC,Australia,de,Referral,Active,Desktop,example.net,1,Weekly
CUS00102,2013-07-01,Bronze,Mainstream,18-24,Mobile,Footscray,13,1643.58,False,3011,VIC,Australia,pl,Social,Active,Tablet,mail.test,1,Essential only
CUS00103,2016-07-06,Silver,Mainstream,18-24,Web,Richmond,1,210.86,False,3121,VIC,Australia,pt,Referral,Active,Desktop,example.net,1,Essential only
CUS00104,2017-06-05,Bronze,Value,55+,Web,Carlton,3,1674.35,True,3053,VIC,Australia,es,Referral,Dormant,Desktop,inbox.example,5+,Monthly
CUS00105,2016-12-05,Gold,Mainstream,55+,Store,Southbank,14,10637.34,False,3006,VIC,Australia,fr,Organic,Dormant,Desktop,example.net,5+,Quarterly
CUS00106,2013-01-20,Silver,Premium,55+,Web,Richmond,10,6595.35,True,3121,VIC,Australia,en,Social,Review,Desktop,inbox.example,5+,Monthly
CUS00107,2017-07-27,Silver,Mainstream,18-24,Web,Southbank,2,794.99,False,3006,VIC,Australia,ru,Social,Active,Mobile,inbox.example,2,Weekly
CUS00108,2016-02-25,Gold,Value,55+,Store,Southbank,12,6582.98,True,3006,VIC,Australia,de,Paid Search,Active,Mobile,inbox.example,5+,Quarterly
CUS00109,2015-07-19,Silver,Mainstream,35-44,Web,Southbank,15,12769.06,True,3006,VIC,Australia,ar,Store,Active,Desktop,mail.test,5+,Monthly
CUS00110,2014-06-18,Bronze,Value,18-24,Store,Melbourne,12,10754.77,False,3000,VIC,Australia,en,Social,Active,Mobile,example.net,2,Quarterly
CUS00111,2015-07-09,Platinum,Mainstream,25-34,Store,Docklands,16,7067.92,True,3008,VIC,Australia,zh,Referral,Active,Desktop,example.net,5+,Quarterly
CUS00112,2015-12-27,Silver,Premium,18-24,Mobile,Hawthorn,20,3576.53,True,3122,VIC,Australia,fr,Social,Active,Desktop,example.net,2,Monthly
CUS00113,2013-05-23,Platinum,Mainstream,18-24,Mobile,Hawthorn,14,13119.08,True,3122,VIC,Australia,ru,Social,Review,Tablet,inbox.example,5+,Quarterly
CUS00114,2014-09-10,Bronze,Value,35-44,Web,Carlton,11,3179.02,True,3053,VIC,Australia,en,Organic,Active,Mobile,inbox.example,3-4,Weekly
CUS00115,2014-02-19,Silver,Value,55+,Web,Melbourne,0,596.68,True,3000,VIC,Australia,ar,Referral,Review,Tablet,mail.test,2,Monthly
CUS00116,2015-03-23,Silver,Mainstream,55+,Web,Footscray,14,8190.9,True,3011,VIC,Australia,es,Store,Active,Desktop,inbox.example,3-4,Monthly
CUS00117,2015-12-02,Bronze,Small Business,35-44,Web,Northcote,21,16959.22,True,3070,VIC,Australia,ru,Referral,Active,Tablet,inbox.example,1,Monthly
CUS00118,2016-11-21,Bronze,Premium,18-24,Web,Southbank,3,438.43,True,3006,VIC,Australia,ja,Organic,Active,Tablet,inbox.example,5+,Weekly
CUS00119,2015-11-08,Silver,Value,35-44,Web,Carlton,14,3177.78,True,3053,VIC,Australia,nl,Store,Active,Desktop,mail.test,3-4,Monthly
CUS00120,2017-01-18,Silver,Value,18-24,Mobile,Footscray,15,5885.03,True,3011,VIC,Australia,nl,Referral,Active,Tablet,inbox.example,2,Monthly
CUS00121,2013-07-10,Silver,Mainstream,55+,Mobile,Southbank,1,571.24,False,3006,VIC,Australia,ar,Store,Active,Tablet,inbox.example,1,Weekly
CUS00122,2017-08-27,Bronze,Premium,55+,Mobile,St Kilda,4,3662.79,True,3182,VIC,Australia,pl,Social,Active,Desktop,mail.test,2,Quarterly
CUS00123,2013-09-27,Bronze,Premium,35-44,Store,Docklands,14,5041.2,True,3008,VIC,Australia,fr,Social,Active,Mobile,example.net,1,Weekly
CUS00124,2017-10-18,Silver,Value,18-24,Store,Southbank,1,622.97,True,3006,VIC,Australia,it,Store,Active,Desktop,example.net,5+,Weekly
CUS00125,2014-02-11,Bronze,Mainstream,35-44,Web,Carlton,15,8052.26,True,3053,VIC,Australia,nl,Social,Active,Desktop,mail.test,5+,Quarterly
CUS00126,2013-05-20,Bronze,Small Business,25-34,Store,Southbank,17,5239.93,True,3006,VIC,Australia,en,Organic,Active,Mobile,inbox.example,3-4,Quarterly
CUS00127,2013-07-18,Platinum,Mainstream,55+,Mobile,Southbank,0,423.94,True,3006,VIC,Australia,nl,Referral,Active,Tablet,inbox.example,5+,Essential only
CUS00128,2013-12-12,Gold,Mainstream,45-54,Store,Hawthorn,1,853.01,True,3122,VIC,Australia,hi,Store,Active,Mobile,inbox.example,1,Monthly
CUS00129,2013-11-10,Platinum,Small Business,25-34,Web,Carlton,9,6657.76,True,3053,VIC,Australia,ja,Social,Active,Desktop,mail.test,5+,Monthly
CUS00130,2015-09-04,Silver,Premium,25-34,Mobile,Footscray,14,12714.56,False,3011,VIC,Australia,pt,Store,Active,Tablet,inbox.example,3-4,Monthly
CUS00131,2013-02-10,Bronze,Mainstream,35-44,Mobile,Southbank,12,8015.43,True,3006,VIC,Australia,es,Organic,Active,Tablet,mail.test,5+,Quarterly
CUS00132,2013-04-08,Bronze,Mainstream,35-44,Store,Hawthorn,11,8532.22,True,3122,VIC,Australia,zh,Store,Active,Mobile,mail.test,1,Weekly
CUS00133,2014-05-14,Bronze,Small Business,18-24,Mobile,Melbourne,15,9855.37,True,3000,VIC,Australia,fr,Social,Active,Tablet,inbox.example,5+,Weekly
CUS00134,2016-01-21,Bronze,Premium,25-34,Web,Docklands,18,1689.1,True,3008,VIC,Australia,fr,Organic,Dormant,Desktop,example.net,2,Weekly
CUS00135,2013-09-24,Bronze,Small Business,55+,Store,Northcote,3,1030.04,True,3070,VIC,Australia,nl,Paid Search,Active,Desktop,example.net,5+,Quarterly
CUS00136,2014-03-07,Bronze,Small Business,25-34,Mobile,St Kilda,2,680.16,True,3182,VIC,Australia,hi,Referral,Active,Desktop,example.net,3-4,Monthly
CUS00137,2016-04-01,Bronze,Premium,18-24,Web,Brunswick,12,7368.99,True,3056,VIC,Australia,en,Referral,Active,Desktop,example.net,1,Weekly
CUS00138,2015-07-04,Silver,Value,45-54,Mobile,Southbank,20,18867.68,False,3006,VIC,Australia,es,Referral,Active,Desktop,mail.test,1,Monthly
CUS00139,2013-10-20,Silver,Premium,35-44,Store,Footscray,1,189.25,True,3011,VIC,Australia,it,Store,Review,Tablet,mail.test,5+,Monthly
CUS00140,2013-11-24,Silver,Premium,25-34,Store,Richmond,12,5282.77,True,3121,VIC,Australia,it,Social,Active,Desktop,mail.test,3-4,Quarterly
CUS00141,2014-05-09,Bronze,Small Business,55+,Store,Melbourne,4,3753.5,True,3000,VIC,Australia,pt,Social,Active,Desktop,example.net,1,Monthly
CUS00142,2015-03-23,Gold,Value,18-24,Store,Footscray,4,937.48,True,3011,VIC,Australia,ru,Social,Active,Tablet,example.net,1,Weekly
CUS00143,2016-07-05,Bronze,Premium,18-24,Mobile,Melbourne,5,779.4,True,3000,VIC,Australia,de,Referral,Active,Desktop,inbox.example,3-4,Quarterly
CUS00144,2017-03-10,Silver,Value,35-44,Store,Richmond,7,4894.99,True,3121,VIC,Australia,fr,Paid Search,Active,Mobile,example.net,3-4,Quarterly
CUS00145,2014-10-07,Gold,Mainstream,35-44,Web,Southbank,6,3606.51,True,3006,VIC,Australia,hi,Referral,Active,Desktop,example.net,1,Monthly
CUS00146,2014-07-23,Silver,Premium,35-44,Web,St Kilda,13,10149.55,True,3182,VIC,Australia,pt,Paid Search,Active,Desktop,mail.test,5+,Weekly
CUS00147,2014-07-07,Silver,Value,18-24,Mobile,Northcote,1,1436.65,True,3070,VIC,Australia,es,Paid Search,Active,Tablet,inbox.example,1,Weekly
CUS00148,2016-07-17,Bronze,Value,45-54,Web,Carlton,17,15054.35,True,3053,VIC,Australia,it,Social,Active,Tablet,example.net,5+,Essential only
CUS00149,2015-05-18,Silver,Premium,45-54,Store,Brunswick,18,4065.37,True,3056,VIC,Australia,de,Referral,Active,Mobile,mail.test,2,Essential only
CUS00150,2015-09-17,Bronze,Value,55+,Mobile,Melbourne,7,4542.84,True,3000,VIC,Australia,ar,Referral,Active,Desktop,inbox.example,2,Monthly
CUS00151,2015-11-06,Silver,Small Business,55+,Web,Footscray,21,12393.15,True,3011,VIC,Australia,ar,Paid Search,Active,Desktop,inbox.example,1,Quarterly
CUS00152,2017-05-21,Bronze,Premium,25-34,Mobile,St Kilda,18,14904.86,True,3182,VIC,Australia,hi,Paid Search,Active,Mobile,inbox.example,2,Monthly
CUS00153,2015-02-25,Bronze,Small Business,45-54,Mobile,Melbourne,20,3063.62,True,3000,VIC,Australia,ru,Organic,Active,Desktop,mail.test,3-4,Essential only
CUS00154,2016-01-23,Silver,Value,35-44,Web,Docklands,5,3926.97,True,3008,VIC,Australia,zh,Referral,Active,Tablet,inbox.example,1,Monthly
CUS00155,2017-07-16,Bronze,Mainstream,25-34,Web,Carlton,11,2543.93,True,3053,VIC,Australia,fr,Social,Active,Tablet,mail.test,2,Weekly
CUS00156,2013-02-19,Silver,Small Business,18-24,Store,Hawthorn,11,1755.63,False,3122,VIC,Australia,fr,Referral,Active,Tablet,example.net,5+,Quarterly
CUS00157,2017-11-18,Silver,Small Business,18-24,Mobile,Richmond,21,5142.09,False,3121,VIC,Australia,nl,Store,Active,Tablet,mail.test,3-4,Weekly
CUS00158,2014-05-07,Platinum,Mainstream,35-44,Store,Carlton,12,7340.65,False,3053,VIC,Australia,ar,Organic,Active,Tablet,mail.test,5+,Weekly
CUS00159,2013-12-03,Gold,Mainstream,35-44,Mobile,Richmond,16,6615.5,True,3121,VIC,Australia,ja,Organic,Active,Desktop,mail.test,5+,Quarterly
CUS00160,2013-08-19,Silver,Premium,35-44,Web,Richmond,4,3307.13,True,3121,VIC,Australia,ru,Store,Active,Desktop,mail.test,3-4,Quarterly
CUS00161,2015-01-03,Silver,Premium,18-24,Mobile,Richmond,14,3034.39,True,3121,VIC,Australia,pt,Organic,Active,Desktop,inbox.example,3-4,Quarterly
CUS00162,2016-12-13,Bronze,Mainstream,45-54,Store,Footscray,7,4699.05,True,3011,VIC,Australia,nl,Paid Search,Active,Mobile,example.net,2,Weekly
CUS00163,2014-03-11,Bronze,Small Business,45-54,Store,Richmond,13,3599.03,False,3121,VIC,Australia,zh,Social,Active,Desktop,mail.test,5+,Essential only
CUS00164,2017-10-21,Bronze,Value,18-24,Web,Northcote,10,7556.38,True,3070,VIC,Australia,nl,Paid Search,Active,Mobile,mail.test,5+,Essential only
CUS00165,2016-04-08,Bronze,Mainstream,35-44,Mobile,Richmond,4,2039.21,True,3121,VIC,Australia,fr,Store,Dormant,Tablet,example.net,5+,Quarterly
CUS00166,2013-04-18,Platinum,Premium,18-24,Mobile,Richmond,4,1453.02,True,3121,VIC,Australia,nl,Paid Search,Active,Tablet,mail.test,2,Quarterly
