product_id,product_name,category,brand,unit_price,unit_cost,launch_year,warranty_months,weight_kg,product_sku,subcategory,model_family,colour,supplier_id,supplier_country,launch_date,tax_category,package_type,recyclable_packaging,active_flag,product_description_clean
PRD0028,Vela Pulse 127,Wearable,Vela,160.23,82.8,2014,12,0.147,SKU-VEL00028,Health Wearable,Nova,Silver,SUP028,China,2014-03-18,GST_STANDARD,Protective case,False,True,"health wearable designed for exercise session summaries, in the nova family and supplied by vela with a 12-month warranty."
PRD0029,Candle Vista 128,Networking,Candle,418.31,250.31,2016,24,0.605,SKU-CAN00029,Connected Network,Orbit,Green,SUP029,Vietnam,2016-10-20,GST_STANDARD,Recycled box,True,True,"connected network designed for video meetings and media streaming, in the orbit family and supplied by candle with a 24-month warranty."
PRD0030,Vela Core 129,Accessory,Vela,239.93,149.69,2012,12,0.22,SKU-VEL00030,Mobile Accessory,Pulse,Green,SUP030,Malaysia,2012-01-19,GST_STANDARD,Box,False,True,"mobile accessory designed for charging-cable organisation, in the pulse family and supplied by vela with a 12-month warranty."
PRD0031,Candle Lumen 130,Laptop,Candle,1504.32,861.79,2013,24,1.839,SKU-CAN00031,Ultrabook,Quest,White,SUP031,Vietnam,2013-10-08,GST_STANDARD,Box,False,True,"ultrabook designed for shared home-office administration, in the quest family and supplied by candle with a 24-month warranty."
PRD0032,Vela Ridge 131,Smartphone,Vela,742.08,383.6,2014,24,0.274,SKU-VEL00032,5G Smartphone,Ridge,Black,SUP032,China,2014-12-11,GST_STANDARD,Protective case,False,True,"5g smartphone designed for travel planning and media use, in the ridge family and supplied by vela with a 24-month warranty."
PRD0033,Candle Arc 132,Tablet,Candle,1096.91,670.34,2015,24,0.652,SKU-CAN00033,Productivity Tablet,Shift,Graphite,SUP033,Australia,2015-05-05,GST_STANDARD,Box,True,True,"productivity tablet designed for family learning and shared browsing, in the shift family and supplied by candle with a 24-month warranty."
PRD0034,Vela Echo 133,Home Entertainment,Vela,3278.22,2013.84,2016,24,8.185,SKU-VEL00034,Smart Display,Spark,Blue,SUP034,Australia,2016-12-16,GST_STANDARD,Box,True,True,"smart display designed for casual living-room gaming, in the spark family and supplied by vela with a 24-month warranty."
PRD0035,Candle Orbit 134,Audio,Candle,1129.26,814.58,2016,12,0.4,SKU-CAN00035,Wireless Audio,Vista,Silver,SUP035,Japan,2016-10-15,GST_STANDARD,Recycled box,True,True,"wireless audio designed for shared-room music playback, in the vista family and supplied by candle with a 12-month warranty."
PRD0036,Vela Spark 135,Smart Home,Vela,226.94,137.2,2017,12,0.468,SKU-VEL00036,Home Automation,Wave,Green,SUP036,Malaysia,2017-09-14,GST_STANDARD,Box,True,True,"home automation designed for door and window activity alerts, in the wave family and supplied by vela with a 12-month warranty."
PRD0037,Candle Bloom 136,Gaming,Candle,873.28,511.67,2012,24,1.576,SKU-CAN00037,Gaming Hardware,Arc,Gold,SUP037,China,2012-11-01,GST_STANDARD,Box,True,True,"gaming hardware designed for portable gaming and travel, in the arc family and supplied by candle with a 24-month warranty."
PRD0038,Vela Halo 137,Wearable,Vela,702.97,513.52,2013,12,0.13,SKU-VEL00038,Health Wearable,Atlas,Gold,SUP001,Japan,2013-08-02,GST_STANDARD,Protective case,True,True,"health wearable designed for calendar alerts and quick message checks, in the atlas family and supplied by vela with a 12-month warranty."
PRD0039,Candle Quest 138,Networking,Candle,735.79,362.62,2016,24,0.543,SKU-CAN00039,Connected Network,Bloom,Gold,SUP002,Malaysia,2016-11-08,GST_STANDARD,Box,True,True,"connected network designed for guest-network and device management, in the bloom family and supplied by candle with a 24-month warranty."
PRD0040,Vela Wave 139,Accessory,Vela,201.64,123.4,2013,12,0.237,SKU-VEL00040,Mobile Accessory,Core,Black,SUP003,Malaysia,2013-07-11,GST_STANDARD,Recycled box,False,True,"mobile accessory designed for connecting several devices through one compact adapter, in the core family and supplied by vela with a 12-month warranty."
PRD0041,Candle Edge 140,Laptop,Candle,3019.84,1612.94,2016,24,1.907,SKU-CAN00041,Ultrabook,Edge,White,SUP004,China,2016-07-21,GST_STANDARD,Protective case,True,True,"ultrabook designed for travel-based work and presentations, in the edge family and supplied by candle with a 24-month warranty."
PRD0042,Vela Nova 141,Smartphone,Vela,711.35,436.97,2012,24,0.246,SKU-VEL00042,5G Smartphone,Echo,White,SUP005,Korea,2012-04-18,GST_STANDARD,Recycled box,True,True,"5g smartphone designed for family communication and casual apps, in the echo family and supplied by vela with a 24-month warranty."
PRD0043,Candle Shift 142,Tablet,Candle,1005.0,523.83,2014,24,0.682,SKU-CAN00043,Productivity Tablet,Flux,Silver,SUP006,China,2014-04-13,GST_STANDARD,Protective case,True,True,"productivity tablet designed for drawing and lightweight creative work, in the flux family and supplied by candle with a 24-month warranty."
PRD0044,Vela Atlas 143,Home Entertainment,Vela,649.62,394.81,2017,24,9.355,SKU-VEL00044,Smart Display,Halo,Blue,SUP007,Malaysia,2017-11-27,GST_STANDARD,Box,True,True,"smart display designed for presentations and photo viewing, in the halo family and supplied by vela with a 24-month warranty."
PRD0045,Candle Flux 144,Audio,Candle,306.29,182.97,2017,12,0.557,SKU-CAN00045,Wireless Audio,Lumen,White,SUP008,China,2017-03-06,GST_STANDARD,Box,True,True,"wireless audio designed for long listening sessions at home, in the lumen family and supplied by candle with a 12-month warranty."
PRD0046,Vela Pulse 145,Smart Home,Vela,192.34,118.78,2015,12,0.269,SKU-VEL00046,Home Automation,Nova,Gold,SUP009,Korea,2015-08-04,GST_STANDARD,Recycled box,True,True,"home automation designed for automated blind and curtain routines, in the nova family and supplied by vela with a 12-month warranty."
PRD0047,Candle Vista 146,Gaming,Candle,663.9,362.83,2016,24,1.297,SKU-CAN00047,Gaming Hardware,Orbit,Graphite,SUP010,Korea,2016-11-13,GST_STANDARD,Box,True,True,"gaming hardware designed for game streaming and media capture, in the orbit family and supplied by candle with a 24-month warranty."
PRD0048,Vela Core 147,Wearable,Vela,490.15,310.79,2014,12,0.119,SKU-VEL00048,Health Wearable,Pulse,Black,SUP011,Japan,2014-11-05,GST_STANDARD,Box,True,False,"health wearable designed for habit reminders and everyday timekeeping, in the pulse family and supplied by vela with a 12-month warranty."
PRD0049,Candle Lumen 148,Networking,Candle,598.46,406.23,2012,24,0.908,SKU-CAN00049,Connected Network,Quest,Silver,SUP012,Vietnam,2012-05-19,GST_STANDARD,Recycled box,True,True,"connected network designed for extending coverage between rooms, in the quest family and supplied by candle with a 24-month warranty."
PRD0050,Vela Ridge 149,Accessory,Vela,289.02,145.97,2015,12,0.22,SKU-VEL00050,Mobile Accessory,Ridge,Red,SUP013,Korea,2015-12-18,GST_STANDARD,Box,True,True,"mobile accessory designed for hands-free device support in a shared workspace, in the ridge family and supplied by vela with a 12-month warranty."
PRD0051,Candle Arc 150,Laptop,Candle,1390.84,861.77,2017,24,1.797,SKU-CAN00051,Ultrabook,Shift,Silver,SUP014,Japan,2017-08-13,GST_STANDARD,Box,True,True,"ultrabook designed for portable document work and video meetings, in the shift family and supplied by candle with a 24-month warranty."
PRD0052,Vela Echo 151,Smartphone,Vela,1497.13,1114.82,2013,24,0.3,SKU-VEL00052,5G Smartphone,Spark,Graphite,SUP015,Malaysia,2013-12-05,GST_STANDARD,Protective case,True,True,"5g smartphone designed for daily communication and navigation, in the spark family and supplied by vela with a 24-month warranty."
PRD0053,Candle Orbit 152,Tablet,Candle,1429.67,933.37,2017,24,0.836,SKU-CAN00053,Productivity Tablet,Vista,Black,SUP016,Malaysia,2017-01-22,GST_STANDARD,Protective case,False,True,"productivity tablet designed for reading, annotation and handwritten notes, in the vista family and supplied by candle with a 24-month warranty."
PRD0054,Vela Spark 153,Home Entertainment,Vela,3479.55,2074.86,2015,24,9.706,SKU-VEL00054,Smart Display,Wave,Black,SUP017,China,2015-01-12,GST_STANDARD,Protective case,True,True,"smart display designed for shared film and television viewing, in the wave family and supplied by vela with a 24-month warranty."
PRD0055,Candle Bloom 154,Audio,Candle,371.08,180.04,2014,12,0.457,SKU-CAN00055,Wireless Audio,Arc,Black,SUP018,China,2014-05-04,GST_STANDARD,Box,True,True,"wireless audio designed for commuting and spoken-content listening, in the arc family and supplied by candle with a 12-month warranty."
PRD0056,Vela Halo 155,Smart Home,Vela,437.03,223.04,2016,12,0.338,SKU-VEL00056,Home Automation,Atlas,Graphite,SUP019,China,2016-12-21,GST_STANDARD,Box,True,True,"home automation designed for app-controlled room lighting, in the atlas family and supplied by vela with a 12-month warranty."
PRD0057,Candle Quest 156,Gaming,Candle,2445.72,1712.85,2012,24,1.401,SKU-CAN00057,Gaming Hardware,Bloom,Graphite,SUP020,Malaysia,2012-03-19,GST_STANDARD,Protective case,True,True,"gaming hardware designed for long desktop gaming sessions, in the bloom family and supplied by candle with a 24-month warranty."
PRD0058,Vela Wave 157,Wearable,Vela,913.94,503.82,2017,12,0.099,SKU-VEL00058,Health Wearable,Core,Black,SUP021,Australia,2017-03-19,GST_STANDARD,Recycled box,False,True,"health wearable designed for daily activity and sleep tracking, in the core family and supplied by vela with a 12-month warranty."
PRD0059,Candle Edge 158,Networking,Candle,1461.18,836.18,2014,24,0.505,SKU-CAN00059,Connected Network,Edge,Green,SUP022,China,2014-08-08,GST_STANDARD,Recycled box,True,True,"connected network designed for home-office wireless coverage, in the edge family and supplied by candle with a 24-month warranty."
PRD0060,Vela Nova 159,Accessory,Vela,207.18,128.48,2012,12,0.237,SKU-VEL00060,Mobile Accessory,Echo,Gold,SUP023,Vietnam,2012-02-04,GST_STANDARD,Box,True,True,"mobile accessory designed for adjustable desk mounting and device positioning, in the echo family and supplied by vela with a 12-month warranty."
PRD0061,Candle Shift 160,Laptop,Candle,2127.06,1044.27,2014,24,1.607,SKU-CAN00061,Ultrabook,Flux,Red,SUP024,Korea,2014-09-09,GST_STANDARD,Protective case,False,True,"ultrabook designed for study, research and note taking, in the flux family and supplied by candle with a 24-month warranty."
PRD0062,Vela Atlas 161,Smartphone,Vela,551.76,272.99,2014,24,0.208,SKU-VEL00062,5G Smartphone,Halo,Green,SUP025,Malaysia,2014-01-21,GST_STANDARD,Box,True,True,"5g smartphone designed for mobile photography and messaging, in the halo family and supplied by vela with a 24-month warranty."
PRD0063,Candle Flux 162,Tablet,Candle,1221.39,886.46,2015,24,0.695,SKU-CAN00063,Productivity Tablet,Lumen,Gold,SUP026,Australia,2015-07-21,GST_STANDARD,Box,True,True,"productivity tablet designed for portable media and video calls, in the lumen family and supplied by candle with a 24-month warranty."
PRD0064,Vela Pulse 163,Home Entertainment,Vela,3952.78,1904.82,2013,24,5.567,SKU-VEL00064,Smart Display,Nova,Red,SUP027,Japan,2013-06-14,GST_STANDARD,Protective case,False,True,"smart display designed for music and spoken-content playback, in the nova family and supplied by vela with a 24-month warranty."
PRD0065,Candle Vista 164,Audio,Candle,446.02,323.4,2012,12,0.5,SKU-CAN00065,Wireless Audio,Orbit,White,SUP028,Japan,2012-02-21,GST_STANDARD,Box,True,True,"wireless audio designed for music during focused desk work, in the orbit family and supplied by candle with a 12-month warranty."
PRD0066,Vela Core 165,Smart Home,Vela,545.23,361.56,2014,12,0.327,SKU-VEL00066,Home Automation,Pulse,Blue,SUP029,Australia,2014-05-19,GST_STANDARD,Box,False,True,"home automation designed for scheduled control of a household power outlet, in the pulse family and supplied by vela with a 12-month warranty."
PRD0067,Candle Lumen 166,Gaming,Candle,2053.61,1528.48,2012,24,1.401,SKU-CAN00067,Gaming Hardware,Quest,White,SUP030,China,2012-06-25,GST_STANDARD,Box,True,True,"gaming hardware designed for casual games in a shared room, in the quest family and supplied by candle with a 24-month warranty."
PRD0068,Vela Ridge 167,Wearable,Vela,327.08,171.97,2017,12,0.154,SKU-VEL00068,Health Wearable,Ridge,Gold,SUP031,Japan,2017-06-01,GST_STANDARD,Recycled box,True,True,"health wearable designed for walking and commute notifications, in the ridge family and supplied by vela with a 12-month warranty."
PRD0069,Candle Arc 168,Networking,Candle,398.01,253.43,2014,24,0.845,SKU-CAN00069,Connected Network,Shift,Blue,SUP032,Vietnam,2014-02-03,GST_STANDARD,Box,False,True,"connected network designed for connecting several shared household devices, in the shift family and supplied by candle with a 24-month warranty."
PRD0070,Vela Echo 169,Accessory,Vela,396.61,285.53,2017,12,0.154,SKU-VEL00070,Mobile Accessory,Spark,Blue,SUP033,China,2017-04-21,GST_STANDARD,Box,False,True,"mobile accessory designed for protective storage during travel, in the spark family and supplied by vela with a 12-month warranty."
PRD0071,Candle Orbit 170,Laptop,Candle,2816.43,1691.1,2012,24,1.519,SKU-CAN00071,Ultrabook,Vista,Gold,SUP034,Korea,2012-03-09,GST_STANDARD,Box,True,True,"ultrabook designed for creative projects and media editing, in the vista family and supplied by candle with a 24-month warranty."
PRD0072,Vela Spark 171,Smartphone,Vela,982.29,719.43,2015,24,0.198,SKU-VEL00072,5G Smartphone,Wave,Red,SUP035,Vietnam,2015-05-12,GST_STANDARD,Box,False,True,"5g smartphone designed for work calls and calendar management, in the wave family and supplied by vela with a 24-month warranty."
PRD0073,Candle Bloom 172,Tablet,Candle,1497.77,959.79,2016,24,0.483,SKU-CAN00073,Productivity Tablet,Arc,Gold,SUP036,Malaysia,2016-01-11,GST_STANDARD,Box,True,True,"productivity tablet designed for field forms and client presentations, in the arc family and supplied by candle with a 24-month warranty."
PRD0074,Vela Halo 173,Home Entertainment,Vela,3394.49,1708.48,2014,24,8.8,SKU-VEL00074,Smart Display,Atlas,Blue,SUP037,Korea,2014-08-24,GST_STANDARD,Box,True,True,"smart display designed for family media streaming, in the atlas family and supplied by vela with a 24-month warranty."
PRD0075,Candle Quest 174,Audio,Candle,360.03,210.59,2012,12,0.5,SKU-CAN00075,Wireless Audio,Bloom,Silver,SUP001,China,2012-09-03,GST_STANDARD,Protective case,True,True,"wireless audio designed for video calls and online classes, in the bloom family and supplied by candle with a 12-month warranty."
PRD0076,Vela Wave 175,Smart Home,Vela,232.75,169.97,2012,12,0.331,SKU-VEL00076,Home Automation,Core,Graphite,SUP002,Korea,2012-04-12,GST_STANDARD,Box,True,True,"home automation designed for indoor temperature and humidity monitoring, in the core family and supplied by vela with a 12-month warranty."
PRD0077,Candle Edge 176,Gaming,Candle,604.37,458.5,2017,24,1.567,SKU-CAN00077,Gaming Hardware,Edge,Red,SUP003,Japan,2017-06-03,GST_STANDARD,Recycled box,True,True,"gaming hardware designed for competitive play and voice communication, in the edge family and supplied by candle with a 24-month warranty."
PRD0078,Vela Nova 177,Wearable,Vela,451.23,239.59,2017,12,0.128,SKU-VEL00078,Health Wearable,Echo,Graphite,SUP004,China,2017-06-26,GST_STANDARD,Recycled box,True,True,"health wearable designed for exercise session summaries, in the echo family and supplied by vela with a 12-month warranty."
PRD0079,Candle Shift 178,Networking,Candle,1132.99,828.42,2014,24,0.81,SKU-CAN00079,Connected Network,Flux,Blue,SUP005,Japan,2014-10-14,GST_STANDARD,Protective case,True,False,"connected network designed for video meetings and media streaming, in the flux family and supplied by candle with a 24-month warranty."
PRD0080,Vela Atlas 179,Accessory,Vela,122.76,76.07,2017,12,0.226,SKU-VEL00080,Mobile Accessory,Halo,Black,SUP006,Korea,2017-03-01,GST_STANDARD,Box,True,True,"mobile accessory designed for charging-cable organisation, in the halo family and supplied by vela with a 12-month warranty."
PRD0081,Candle Flux 180,Laptop,Candle,1855.65,1406.31,2012,24,1.123,SKU-CAN00081,Ultrabook,Lumen,White,SUP007,Korea,2012-01-24,GST_STANDARD,Recycled box,True,True,"ultrabook designed for shared home-office administration, in the lumen family and supplied by candle with a 24-month warranty."
PRD0082,Vela Pulse 181,Smartphone,Vela,1374.63,719.67,2012,24,0.259,SKU-VEL00082,5G Smartphone,Nova,Graphite,SUP008,Malaysia,2012-10-01,GST_STANDARD,Box,True,True,"5g smartphone designed for travel planning and media use, in the nova family and supplied by vela with a 24-month warranty."
PRD0083,Candle Vista 182,Tablet,Candle,1406.78,709.97,2017,24,0.577,SKU-CAN00083,Productivity Tablet,Orbit,Gold,SUP009,Korea,2017-05-16,GST_STANDARD,Protective case,True,True,"productivity tablet designed for family learning and shared browsing, in the orbit family and supplied by candle with a 24-month warranty."
PRD0084,Vela Core 183,Home Entertainment,Vela,1248.72,854.29,2016,24,8.965,SKU-VEL00084,Smart Display,Pulse,Blue,SUP010,Malaysia,2016-01-12,GST_STANDARD,Box,True,True,"smart display designed for casual living-room gaming, in the pulse family and supplied by vela with a 24-month warranty."
PRD0085,Candle Lumen 184,Audio,Candle,655.93,458.53,2016,12,0.521,SKU-CAN00085,Wireless Audio,Quest,Blue,SUP011,Australia,2016-07-11,GST_STANDARD,Box,True,True,"wireless audio designed for shared-room music playback, in the quest family and supplied by candle with a 12-month warranty."
PRD0086,Vela Ridge 185,Smart Home,Vela,92.8,70.33,2016,12,0.317,SKU-VEL00086,Home Automation,Ridge,Gold,SUP012,Malaysia,2016-03-04,GST_STANDARD,Box,True,True,"home automation designed for door and window activity alerts, in the ridge family and supplied by vela with a 12-month warranty."
PRD0087,Candle Arc 186,Gaming,Candle,2521.54,1582.67,2012,24,0.936,SKU-CAN00087,Gaming Hardware,Shift,White,SUP013,Korea,2012-12-01,GST_STANDARD,Protective case,False,True,"gaming hardware designed for portable gaming and travel, in the shift family and supplied by candle with a 24-month warranty."
PRD0088,Vela Echo 187,Wearable,Vela,141.39,96.16,2012,12,0.134,SKU-VEL00088,Health Wearable,Spark,White,SUP014,China,2012-10-08,GST_STANDARD,Box,True,True,"health wearable designed for calendar alerts and quick message checks, in the spark family and supplied by vela with a 12-month warranty."
PRD0089,Candle Orbit 188,Networking,Candle,561.13,377.02,2012,24,0.778,SKU-CAN00089,Connected Network,Vista,Red,SUP015,Japan,2012-03-08,GST_STANDARD,Protective case,True,True,"connected network designed for guest-network and device management, in the vista family and supplied by candle with a 24-month warranty."
PRD0090,Vela Spark 189,Accessory,Vela,136.64,97.33,2016,12,0.13,SKU-VEL00090,Mobile Accessory,Wave,Black,SUP016,Japan,2016-01-20,GST_STANDARD,Recycled box,False,True,"mobile accessory designed for connecting several devices through one compact adapter, in the wave family and supplied by vela with a 12-month warranty."
PRD0091,Candle Bloom 190,Laptop,Candle,1158.82,691.56,2016,24,1.28,SKU-CAN00091,Ultrabook,Arc,Red,SUP017,Vietnam,2016-06-18,GST_STANDARD,Recycled box,False,False,"ultrabook designed for travel-based work and presentations, in the arc family and supplied by candle with a 24-month warranty."
PRD0092,Vela Halo 191,Smartphone,Vela,651.72,331.5,2014,24,0.228,SKU-VEL00092,5G Smartphone,Atlas,Blue,SUP018,Vietnam,2014-08-27,GST_STANDARD,Recycled box,True,True,"5g smartphone designed for family communication and casual apps, in the atlas family and supplied by vela with a 24-month warranty."
PRD0093,Candle Quest 192,Tablet,Candle,401.55,276.72,2014,24,0.519,SKU-CAN00093,Productivity Tablet,Bloom,Black,SUP019,Vietnam,2014-06-21,GST_STANDARD,Protective case,True,True,"productivity tablet designed for drawing and lightweight creative work, in the bloom family and supplied by candle with a 24-month warranty."
PRD0094,Vela Wave 193,Home Entertainment,Vela,1868.0,1414.71,2015,24,9.141,SKU-VEL00094,Smart Display,Core,Graphite,SUP020,Japan,2015-04-25,GST_STANDARD,Box,True,True,"smart display designed for presentations and photo viewing, in the core family and supplied by vela with a 24-month warranty."
PRD0095,Candle Edge 194,Audio,Candle,590.13,288.73,2016,12,0.554,SKU-CAN00095,Wireless Audio,Edge,Blue,SUP021,Australia,2016-12-14,GST_STANDARD,Box,True,True,"wireless audio designed for long listening sessions at home, in the edge family and supplied by candle with a 12-month warranty."
PRD0096,Vela Nova 195,Smart Home,Vela,291.41,197.04,2012,12,0.348,SKU-VEL00096,Home Automation,Echo,Gold,SUP022,Australia,2012-03-19,GST_STANDARD,Box,True,True,"home automation designed for automated blind and curtain routines, in the echo family and supplied by vela with a 12-month warranty."
