delivery_id,order_id,dispatch_date,promised_date,delivered_date,carrier,service_level,delivery_status,delay_days,on_time_in_full,fulfilment_hours,delivery_cost,delay_reason,promised_days,tracking_event_count,delivery_window,shipping_distance_km,signature_required,estimated_carbon_kg,delivery_note_clean
HDEL000025,HORD000025,2018-02-26,2018-03-01,2018-03-04,Direct Freight,Standard,Delivered,3,False,21,9.01,weather,3,9,Afternoon,3.7156,False,0.324,Carrier scan reconciled
HDEL000026,HORD000026,2018-02-14,2018-02-18,2018-02-16,DHL,Standard,Delivered,0,True,45,11.84,none,4,8,Morning,9.7376,True,0.572,Delivered within promise
HDEL000027,HORD000027,2018-08-01,2018-08-04,2018-08-08,Direct Freight,Standard,Delivered,4,False,62,9.23,carrier_capacity,3,8,Anytime,0.7676,True,0.3,Carrier scan reconciled
HDEL000028,HORD000028,2018-03-15,2018-03-20,2018-03-20,AusPost,Standard,Delivered,0,True,15,8.48,none,5,7,Morning,3.7645,True,0.421,Delivered within promise
HDEL000029,HORD000029,2018-08-25,2018-09-01,2018-09-01,Direct Freight,Standard,Delivered,0,True,29,10.49,none,7,4,Morning,6.8518,True,0.478,Delivered within promise
HDEL000030,HORD000030,2018-04-28,2018-05-04,2018-05-03,StarTrack,Standard,Delivered,0,True,3,10.63,none,6,8,Morning,6.5212,False,0.569,Delivered within promise
HDEL000031,HORD000031,2018-08-12,2018-08-18,2018-08-17,StarTrack,Standard,Delivered,0,True,16,12.34,none,6,7,Afternoon,6.7274,True,0.634,Delivered within promise
HDEL000032,HORD000032,2018-08-05,2018-08-12,2018-08-10,DHL,Standard,Delivered,0,True,54,10.95,none,7,5,Afternoon,7.2037,True,0.592,Delivered within promise
HDEL000033,HORD000033,2018-10-29,2018-11-04,2018-11-04,Direct Freight,Standard,Delivered,0,True,59,11.06,none,6,4,Afternoon,8.0545,True,0.479,Delivered within promise
HDEL000034,HORD000034,2018-02-27,2018-03-06,2018-03-06,DHL,Standard,Delivered,0,True,46,9.33,none,7,7,Morning,4.4728,True,0.495,Delivered within promise
HDEL000035,HORD000035,2018-01-16,2018-01-21,2018-01-19,DHL,Standard,Delivered,0,True,70,6.8,none,5,9,Afternoon,3.4974,True,0.469,Delivered within promise
HDEL000036,HORD000036,2018-10-14,2018-10-21,2018-10-19,StarTrack,Standard,Delivered,0,True,11,7.41,none,7,6,Anytime,3.3058,True,0.437,Delivered within promise
HDEL000037,HORD000037,2018-01-22,2018-01-29,2018-01-29,DHL,Standard,Delivered,0,True,46,8.3,none,7,5,Afternoon,5.7069,True,0.397,Delivered within promise
HDEL000038,HORD000038,2018-09-06,2018-09-13,2018-09-12,Direct Freight,Standard,Delivered,0,True,67,9.83,none,7,9,Morning,5.0419,True,0.406,Delivered within promise
HDEL000039,HORD000039,2018-08-10,2018-08-16,2018-08-17,AusPost,Standard,Delivered,1,False,70,14.45,weather,6,6,Afternoon,7.7566,True,1.72,Carrier scan reconciled
HDEL000040,HORD000040,2018-01-09,2018-01-15,2018-01-14,StarTrack,Standard,Delivered,0,True,62,5.52,none,6,6,Afternoon,0.271,True,0.809,Delivered within promise
HDEL000041,HORD000041,2018-01-04,2018-01-09,2018-01-08,DHL,Express,Delivered,0,True,31,13.09,none,5,3,Afternoon,2.6628,True,0.336,Delivered within promise
HDEL000042,HORD000042,2018-09-03,2018-09-10,2018-09-08,Direct Freight,Standard,Delivered,0,True,46,7.0,none,7,7,Anytime,2.5064,True,0.356,Delivered within promise
HDEL000043,HORD000043,2018-03-11,2018-03-16,2018-03-14,Direct Freight,Standard,Delivered,0,True,16,7.35,none,5,6,Morning,1.9055,False,0.294,Delivered within promise
HDEL000044,HORD000044,2018-12-18,2018-12-23,2018-12-22,StarTrack,Express,Delivered,0,True,14,19.5,none,5,4,Anytime,6.257,True,0.543,Delivered within promise
HDEL000045,HORD000045,2018-10-16,2018-10-21,2018-10-19,StarTrack,Standard,Delivered,0,True,22,8.62,none,5,4,Morning,7.2004,True,1.142,Delivered within promise
HDEL000046,HORD000046,2018-06-29,2018-07-06,2018-07-07,Direct Freight,Express,Delivered,1,False,59,18.33,weather,7,9,Morning,1.8532,False,0.966,Carrier scan reconciled
HDEL000047,HORD000047,2018-03-03,2018-03-08,2018-03-06,AusPost,Standard,Delivered,0,True,61,6.89,none,5,7,Anytime,3.2297,True,0.78,Delivered within promise
HDEL000048,HORD000048,2018-12-05,2018-12-09,2018-12-08,StarTrack,Standard,Delivered,0,True,36,7.92,none,4,6,Afternoon,3.5521,True,0.404,Delivered within promise
HDEL000049,HORD000049,2018-08-28,2018-09-04,2018-09-02,StarTrack,Standard,Delivered,0,True,8,14.01,none,7,6,Afternoon,7.63,False,0.39,Delivered within promise
HDEL000050,HORD000050,2018-03-22,2018-03-28,2018-03-28,AusPost,Express,Delivered,0,True,26,18.34,none,6,8,Anytime,5.6776,False,0.381,Delivered within promise
HDEL000051,HORD000051,2018-02-06,2018-02-12,2018-02-11,StarTrack,Standard,Delivered,0,True,62,12.85,none,6,8,Afternoon,8.8883,True,0.523,Delivered within promise
HDEL000052,HORD000052,2018-02-23,2018-03-02,2018-03-01,Direct Freight,Express,Delivered,0,True,19,18.1,none,7,7,Anytime,3.7437,True,1.01,Delivered within promise
HDEL000053,HORD000053,2018-03-06,2018-03-11,2018-03-10,StarTrack,Standard,Delivered,0,True,9,10.31,none,5,4,Afternoon,6.1961,True,0.542,Delivered within promise
HDEL000054,HORD000054,2018-06-13,2018-06-18,2018-06-16,StarTrack,Express,Delivered,0,True,60,23.6,none,5,9,Afternoon,7.2037,True,0.481,Delivered within promise
HDEL000055,HORD000055,2018-05-28,2018-06-02,2018-05-31,AusPost,Standard,Delivered,0,True,36,7.91,none,5,4,Morning,3.4974,False,0.509,Delivered within promise
HDEL000056,HORD000056,2018-05-27,2018-06-02,2018-06-01,Direct Freight,Standard,Delivered,0,True,64,9.89,none,6,6,Morning,7.7566,True,0.62,Delivered within promise
HDEL000057,HORD000057,2018-08-12,2018-08-15,2018-08-13,Direct Freight,Standard,Delivered,0,True,37,10.49,none,3,5,Morning,4.881,True,0.443,Delivered within promise
HDEL000058,HORD000058,2018-03-30,2018-04-02,2018-04-01,StarTrack,Express,Delivered,0,True,48,20.5,none,3,4,Afternoon,6.8251,True,0.503,Delivered within promise
HDEL000059,HORD000059,2018-12-14,2018-12-19,2018-12-19,StarTrack,Express,Delivered,0,True,36,17.6,none,5,7,Afternoon,3.6714,True,0.59,Delivered within promise
HDEL000060,HORD000060,2018-05-21,2018-05-27,2018-05-25,AusPost,Standard,Delivered,0,True,23,6.47,none,6,9,Anytime,1.0896,True,0.307,Delivered within promise
HDEL000061,HORD000061,2018-12-30,2019-01-05,2019-01-05,DHL,Standard,Delivered,0,True,9,7.89,none,6,7,Morning,5.389,False,1.143,Delivered within promise
HDEL000062,HORD000062,2018-05-04,2018-05-07,2018-05-05,AusPost,Standard,Delivered,0,True,55,6.79,none,3,7,Afternoon,3.7031,True,0.895,Delivered within promise
HDEL000063,HORD000063,2018-02-03,2018-02-10,2018-02-10,Direct Freight,Standard,Delivered,0,True,67,8.92,none,7,3,Anytime,4.88,True,0.458,Delivered within promise
HDEL000064,HORD000064,2018-08-11,2018-08-14,2018-08-14,DHL,Standard,Delivered,0,True,54,9.97,none,3,8,Anytime,3.4523,False,0.305,Delivered within promise
HDEL000065,HORD000065,2018-12-16,2018-12-19,2018-12-17,AusPost,Standard,Delivered,0,True,62,10.71,none,3,9,Morning,6.245,True,0.389,Delivered within promise
HDEL000066,HORD000066,2018-07-26,2018-07-30,2018-07-30,Direct Freight,Express,Delivered,0,True,28,20.52,none,4,5,Anytime,1.4306,False,0.324,Delivered within promise
HDEL000067,HORD000067,2018-12-11,2018-12-15,2018-12-15,DHL,Standard,Delivered,0,True,32,9.46,none,4,6,Morning,4.1136,False,0.365,Delivered within promise
HDEL000068,HORD000068,2018-02-21,2018-02-27,2018-03-03,AusPost,Standard,Delivered,4,False,11,10.2,carrier_capacity,6,3,Anytime,6.6837,False,0.373,Carrier scan reconciled
HDEL000069,HORD000069,2018-07-12,2018-07-19,2018-07-17,AusPost,Express,Delivered,0,True,4,21.72,none,7,9,Afternoon,2.8148,True,1.003,Delivered within promise
HDEL000070,HORD000070,2018-06-02,2018-06-09,2018-06-08,DHL,Standard,Delivered,0,True,9,12.76,none,7,4,Anytime,5.718,True,0.43,Delivered within promise
HDEL000071,HORD000071,2018-06-08,2018-06-13,2018-06-12,Direct Freight,Standard,Delivered,0,True,39,8.44,none,5,6,Morning,1.2087,False,0.287,Delivered within promise
HDEL000072,HORD000072,2018-10-25,2018-10-30,2018-10-28,Direct Freight,Standard,Delivered,0,True,26,8.67,none,5,3,Anytime,4.2631,True,0.382,Delivered within promise
HDEL000073,HORD000073,2018-01-13,2018-01-18,2018-01-18,DHL,Standard,Delivered,0,True,65,7.88,none,5,7,Afternoon,1.1218,True,0.387,Delivered within promise
HDEL000074,HORD000074,2018-01-05,2018-01-10,2018-01-10,StarTrack,Standard,Delivered,0,True,29,7.11,none,5,5,Afternoon,3.0424,False,0.277,Delivered within promise
HDEL000075,HORD000075,2018-03-22,2018-03-29,2018-03-29,DHL,Standard,Delivered,0,True,22,8.98,none,7,6,Anytime,3.7244,True,0.4,Delivered within promise
HDEL000076,HORD000076,2018-05-15,2018-05-18,2018-05-19,Direct Freight,Standard,Delivered,1,False,36,6.29,carrier_capacity,3,5,Anytime,2.9677,True,0.399,Carrier scan reconciled
HDEL000077,HORD000077,2018-01-15,2018-01-21,2018-01-19,StarTrack,Standard,Delivered,0,True,6,11.56,none,6,3,Morning,7.5454,True,0.544,Delivered within promise
HDEL000078,HORD000078,2018-09-15,2018-09-20,2018-09-20,StarTrack,Standard,Delivered,0,True,15,7.89,none,5,3,Morning,5.9639,False,0.461,Delivered within promise
HDEL000079,HORD000079,2018-06-28,2018-07-05,2018-07-05,StarTrack,Standard,Delivered,0,True,9,14.98,none,7,5,Afternoon,8.2554,False,0.436,Delivered within promise
HDEL000080,HORD000080,2018-04-18,2018-04-25,2018-04-24,AusPost,Express,Delivered,0,True,58,16.05,none,7,8,Morning,8.2554,True,0.525,Delivered within promise
HDEL000081,HORD000081,2018-01-06,2018-01-10,2018-01-14,DHL,Standard,Delivered,4,False,37,8.77,warehouse_congestion,4,4,Morning,4.6822,False,0.413,Carrier scan reconciled
HDEL000082,HORD000082,2018-10-18,2018-10-25,2018-10-23,Direct Freight,Standard,Delivered,0,True,54,9.41,none,7,4,Anytime,6.5212,True,0.814,Delivered within promise
HDEL000083,HORD000083,2018-09-06,2018-09-12,2018-09-10,Direct Freight,Standard,Delivered,0,True,26,9.73,none,6,6,Anytime,6.1417,True,0.553,Delivered within promise
HDEL000084,HORD000084,2018-04-03,2018-04-06,2018-04-07,DHL,Standard,Delivered,1,False,52,8.03,warehouse_congestion,3,5,Afternoon,6.4815,False,0.418,Carrier scan reconciled
HDEL000085,HORD000085,2018-01-23,2018-01-28,2018-01-28,AusPost,Standard,Delivered,0,True,51,10.26,none,5,6,Afternoon,5.874,False,1.018,Delivered within promise
HDEL000086,HORD000086,2018-02-16,2018-02-21,2018-02-21,Direct Freight,Express,Delivered,0,True,12,18.1,none,5,5,Afternoon,6.97,True,0.599,Delivered within promise
HDEL000087,HORD000087,2018-01-08,2018-01-13,2018-01-13,Direct Freight,Standard,Delivered,0,True,73,7.47,none,5,7,Anytime,0.1772,True,0.43,Delivered within promise
HDEL000088,HORD000088,2018-08-11,2018-08-14,2018-08-12,Direct Freight,Standard,Delivered,0,True,41,11.62,none,3,8,Anytime,5.6968,False,0.438,Delivered within promise
HDEL000089,HORD000089,2018-06-05,2018-06-09,2018-06-07,AusPost,Standard,Delivered,0,True,61,10.57,none,4,3,Morning,6.377,False,0.395,Delivered within promise
HDEL000090,HORD000090,2018-12-07,2018-12-13,2018-12-18,Direct Freight,Standard,Delivered,5,False,60,9.09,weather,6,4,Morning,3.3911,True,1.107,Carrier scan reconciled
HDEL000091,HORD000091,2018-08-31,2018-09-05,2018-09-03,AusPost,Standard,Delivered,0,True,60,9.84,none,5,7,Anytime,3.7982,True,0.483,Delivered within promise
HDEL000092,HORD000092,2018-04-18,2018-04-22,2018-04-21,Direct Freight,Express,Delivered,0,True,68,16.61,none,4,5,Afternoon,2.5961,True,0.408,Delivered within promise
HDEL000093,HORD000093,2018-12-21,2018-12-28,2018-12-26,StarTrack,Standard,Delivered,0,True,65,9.34,none,7,7,Morning,8.6612,True,0.516,Delivered within promise
HDEL000094,HORD000094,2018-12-12,2018-12-18,2018-12-16,Direct Freight,Standard,Delivered,0,True,36,7.5,none,6,6,Anytime,1.6207,True,0.966,Delivered within promise
HDEL000095,HORD000095,2018-09-05,2018-09-09,2018-09-07,AusPost,Express,Delivered,0,True,29,17.74,none,4,5,Afternoon,5.881,False,0.448,Delivered within promise
HDEL000096,HORD000096,2018-02-21,2018-02-26,2018-02-26,DHL,Standard,Delivered,0,True,14,12.43,none,5,5,Morning,7.8829,True,0.947,Delivered within promise
HDEL000097,HORD000097,2018-02-11,2018-02-18,2018-02-22,Direct Freight,Standard,Delivered,4,False,16,10.34,weather,7,5,Morning,5.6386,True,0.588,Carrier scan reconciled
HDEL000098,HORD000098,2018-12-22,2018-12-29,2018-12-27,Direct Freight,Standard,Delivered,0,True,33,11.2,none,7,5,Morning,6.5713,True,0.404,Delivered within promise
HDEL000099,HORD000099,2018-12-04,2018-12-11,2018-12-11,Direct Freight,Standard,Delivered,0,True,7,12.82,none,7,9,Afternoon,8.927,True,0.615,Delivered within promise
HDEL000100,HORD000100,2018-02-04,2018-02-10,2018-02-10,Direct Freight,Standard,Delivered,0,True,60,10.02,none,6,4,Afternoon,4.3026,True,0.552,Delivered within promise
HDEL000101,HORD000101,2018-11-03,2018-11-09,2018-11-08,AusPost,Standard,Delivered,0,True,55,7.93,none,6,3,Afternoon,3.3208,True,0.326,Delivered within promise
HDEL000102,HORD000102,2018-06-21,2018-06-26,2018-06-26,AusPost,Standard,Delivered,0,True,12,10.33,none,5,8,Anytime,6.6659,True,0.648,Delivered within promise
HDEL000103,HORD000103,2018-02-02,2018-02-08,2018-02-07,DHL,Standard,Delivered,0,True,66,11.85,none,6,8,Afternoon,7.5335,False,0.458,Delivered within promise
HDEL000104,HORD000104,2018-04-09,2018-04-15,2018-04-15,StarTrack,Standard,Delivered,0,True,22,12.46,none,6,7,Anytime,9.6136,True,0.491,Delivered within promise
HDEL000105,HORD000105,2018-03-11,2018-03-14,2018-03-16,DHL,Standard,Delivered,2,False,25,8.94,warehouse_congestion,3,5,Morning,5.7307,True,0.943,Carrier scan reconciled
HDEL000106,HORD000106,2018-08-23,2018-08-28,2018-08-28,Direct Freight,Standard,Delivered,0,True,67,10.51,none,5,8,Afternoon,2.4112,True,0.345,Delivered within promise
HDEL000107,HORD000107,2018-08-11,2018-08-14,2018-08-14,Direct Freight,Standard,Delivered,0,True,25,11.04,none,3,7,Anytime,5.6968,True,0.466,Delivered within promise
HDEL000108,HORD000108,2018-09-20,2018-09-24,2018-09-24,DHL,Standard,Delivered,0,True,26,8.57,none,4,4,Morning,3.7872,False,0.428,Delivered within promise
HDEL000109,HORD000109,2018-11-18,2018-11-24,2018-11-24,StarTrack,Standard,Delivered,0,True,32,9.78,none,6,7,Anytime,7.4278,True,0.592,Delivered within promise
HDEL000110,HORD000110,2018-10-18,2018-10-23,2018-10-21,AusPost,Standard,Delivered,0,True,33,6.79,none,5,4,Anytime,4.0238,True,0.881,Delivered within promise
HDEL000111,HORD000111,2018-03-30,2018-04-02,2018-03-31,DHL,Express,Delivered,0,True,44,16.95,none,3,9,Anytime,6.2606,True,1.299,Delivered within promise
HDEL000112,HORD000112,2018-06-16,2018-06-20,2018-06-18,Direct Freight,Standard,Delivered,0,True,26,10.94,none,4,7,Afternoon,6.6032,True,0.519,Delivered within promise
HDEL000113,HORD000113,2018-01-27,2018-02-01,2018-01-30,Direct Freight,Express,Delivered,0,True,6,20.81,none,5,5,Anytime,7.1196,True,0.491,Delivered within promise
HDEL000114,HORD000114,2018-05-27,2018-05-30,2018-06-01,StarTrack,Standard,Delivered,2,False,40,7.76,weather,3,9,Afternoon,5.322,True,0.425,Carrier scan reconciled
HDEL000115,HORD000115,2018-12-16,2018-12-20,2018-12-19,AusPost,Standard,Delivered,0,True,34,10.62,none,4,8,Anytime,5.7044,True,0.638,Delivered within promise
HDEL000116,HORD000116,2018-09-20,2018-09-23,2018-09-21,Direct Freight,Standard,Delivered,0,True,70,7.13,none,3,4,Afternoon,2.3203,False,0.27,Delivered within promise
HDEL000117,HORD000117,2018-12-07,2018-12-10,2018-12-08,AusPost,Standard,Delivered,0,True,48,7.5,none,3,8,Afternoon,4.4364,False,0.37,Delivered within promise
HDEL000118,HORD000118,2018-04-15,2018-04-19,2018-04-19,StarTrack,Express,Delivered,0,True,14,15.18,none,4,6,Morning,3.798,True,0.613,Delivered within promise
HDEL000119,HORD000119,2018-01-23,2018-01-26,2018-01-25,StarTrack,Express,Delivered,0,True,17,16.36,none,3,4,Anytime,4.4728,True,0.481,Delivered within promise
HDEL000120,HORD000120,2018-02-19,2018-02-24,2018-03-01,DHL,Standard,Delivered,5,False,29,11.44,weather,5,7,Afternoon,6.9443,True,0.582,Carrier scan reconciled
HDEL000121,HORD000121,2018-07-20,2018-07-24,2018-07-22,AusPost,Standard,Delivered,0,True,16,10.77,none,4,5,Morning,3.5701,True,1.001,Delivered within promise
HDEL000122,HORD000122,2018-01-25,2018-01-31,2018-01-29,Direct Freight,Standard,Delivered,0,True,58,10.04,none,6,6,Anytime,8.8193,True,0.501,Delivered within promise
HDEL000123,HORD000123,2018-04-24,2018-05-01,2018-04-29,Direct Freight,Standard,Delivered,0,True,31,10.12,none,7,6,Morning,6.1961,False,0.387,Delivered within promise
HDEL000124,HORD000124,2018-05-19,2018-05-24,2018-05-24,AusPost,Standard,Delivered,0,True,46,6.71,none,5,4,Anytime,2.6628,True,0.938,Delivered within promise
HDEL000125,HORD000125,2018-02-18,2018-02-25,2018-02-25,Direct Freight,Standard,Delivered,0,True,13,10.53,none,7,7,Morning,8.1069,True,0.494,Delivered within promise
HDEL000126,HORD000126,2018-02-02,2018-02-08,2018-02-08,StarTrack,Standard,Delivered,0,True,69,8.63,none,6,4,Anytime,4.88,True,0.506,Delivered within promise
HDEL000127,HORD000127,2018-07-07,2018-07-10,2018-07-08,Direct Freight,Standard,Delivered,0,True,19,11.38,none,3,3,Anytime,6.1961,True,0.523,Delivered within promise
HDEL000128,HORD000128,2018-06-10,2018-06-13,2018-06-13,StarTrack,Standard,Delivered,0,True,7,9.27,none,3,4,Afternoon,4.7227,True,0.54,Delivered within promise
HDEL000129,HORD000129,2018-04-17,2018-04-21,2018-04-19,Direct Freight,Standard,Delivered,0,True,12,9.86,none,4,5,Morning,7.1074,True,0.492,Delivered within promise
HDEL000130,HORD000130,2018-02-14,2018-02-19,2018-02-19,DHL,Standard,Delivered,0,True,31,10.28,none,5,3,Afternoon,4.859,True,0.996,Delivered within promise
HDEL000131,HORD000131,2018-06-18,2018-06-22,2018-06-22,AusPost,Standard,Delivered,0,True,9,11.23,none,4,6,Afternoon,7.0132,True,0.474,Delivered within promise
HDEL000132,HORD000132,2018-02-20,2018-02-26,2018-02-24,DHL,Standard,Delivered,0,True,43,8.61,none,6,8,Morning,6.1961,True,0.462,Delivered within promise
HDEL000133,HORD000133,2018-07-16,2018-07-22,2018-07-20,Direct Freight,Standard,Delivered,0,True,53,14.41,none,6,9,Morning,7.8737,True,0.607,Delivered within promise
HDEL000134,HORD000134,2018-02-12,2018-02-18,2018-02-17,AusPost,Standard,Delivered,0,True,48,8.74,none,6,6,Anytime,2.4112,False,0.293,Delivered within promise
HDEL000135,HORD000135,2018-05-03,2018-05-10,2018-05-10,StarTrack,Standard,Delivered,0,True,67,5.85,none,7,6,Anytime,0.7121,True,0.361,Delivered within promise
HDEL000136,HORD000136,2018-07-28,2018-08-03,2018-08-08,DHL,Standard,Delivered,5,False,63,13.49,weather,6,8,Morning,6.1842,False,0.426,Carrier scan reconciled
HDEL000137,HORD000137,2018-07-24,2018-07-31,2018-07-30,Direct Freight,Standard,Delivered,0,True,40,12.8,none,7,9,Afternoon,6.4037,True,1.182,Delivered within promise
HDEL000138,HORD000138,2018-01-17,2018-01-20,2018-01-18,StarTrack,Standard,Delivered,0,True,36,7.62,none,3,3,Afternoon,4.9211,True,1.002,Delivered within promise
HDEL000139,HORD000139,2018-05-05,2018-05-09,2018-05-08,AusPost,Express,Delivered,0,True,72,14.35,none,4,4,Morning,1.6563,True,0.309,Delivered within promise
HDEL000140,HORD000140,2018-05-22,2018-05-29,2018-05-27,AusPost,Standard,Delivered,0,True,66,8.96,none,7,3,Afternoon,4.7875,True,0.387,Delivered within promise
HDEL000141,HORD000141,2018-11-29,2018-12-06,2018-12-04,AusPost,Standard,Delivered,0,True,31,6.18,none,7,9,Afternoon,0.7121,False,0.391,Delivered within promise
HDEL000142,HORD000142,2018-12-09,2018-12-13,2018-12-11,DHL,Standard,Delivered,0,True,3,11.72,none,4,9,Afternoon,6.8528,True,0.472,Delivered within promise
HDEL000143,HORD000143,2018-09-19,2018-09-25,2018-09-24,DHL,Express,Delivered,0,True,72,19.06,none,6,7,Afternoon,7.2162,False,0.448,Delivered within promise
HDEL000144,HORD000144,2018-05-30,2018-06-02,2018-06-01,Direct Freight,Standard,Delivered,0,True,18,6.31,none,3,7,Morning,0.6614,True,0.861,Delivered within promise
HDEL000145,HORD000145,2018-09-25,2018-09-28,2018-09-27,DHL,Standard,Delivered,0,True,39,11.2,none,3,5,Anytime,7.5861,True,1.045,Delivered within promise
HDEL000146,HORD000146,2018-03-23,2018-03-29,2018-03-29,DHL,Standard,Delivered,0,True,42,8.04,none,6,4,Anytime,4.2951,True,0.463,Delivered within promise
HDEL000147,HORD000147,2018-09-23,2018-09-29,2018-09-28,Direct Freight,Standard,Delivered,0,True,58,7.59,none,6,7,Morning,1.9749,True,1.27,Delivered within promise
HDEL000148,HORD000148,2018-05-25,2018-05-30,2018-06-04,StarTrack,Express,Delivered,5,False,73,17.49,carrier_capacity,5,8,Anytime,4.2024,True,0.507,Carrier scan reconciled
HDEL000149,HORD000149,2018-09-18,2018-09-24,2018-09-24,DHL,Standard,Delivered,0,True,22,8.29,none,6,8,Afternoon,2.7341,False,0.337,Delivered within promise
HDEL000150,HORD000150,2018-05-15,2018-05-19,2018-05-19,StarTrack,Standard,Delivered,0,True,66,6.82,none,4,9,Afternoon,1.4306,False,0.35,Delivered within promise
HDEL000151,HORD000151,2018-06-11,2018-06-14,2018-06-14,AusPost,Express,Delivered,0,True,72,18.48,none,3,8,Morning,2.8541,True,1.254,Delivered within promise
HDEL000152,HORD000152,2018-11-07,2018-11-13,2018-11-12,AusPost,Standard,Delivered,0,True,20,9.88,none,6,7,Afternoon,7.4542,True,0.576,Delivered within promise
HDEL000153,HORD000153,2018-06-05,2018-06-11,2018-06-09,AusPost,Standard,Delivered,0,True,17,14.28,none,6,9,Afternoon,8.0642,False,1.471,Delivered within promise
HDEL000154,HORD000154,2018-06-16,2018-06-21,2018-06-23,AusPost,Express,Delivered,2,False,71,22.34,warehouse_congestion,5,3,Anytime,5.1974,True,0.437,Carrier scan reconciled
